Bin ID	classification
3300050821_92	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_975	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_1170	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_1217	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_1320	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_1712	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_1722	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2161	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2201	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2300	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2577	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2628	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_294	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_368	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_437	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_48	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_633	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_765	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__
3300050821_2332	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-189
3300050821_75	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-189
3300050821_1579	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_1672	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2209	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2235	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2247	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2267	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2376	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_241	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_25	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2506	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2606	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2621	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2638	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_2834	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_336	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_354	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_356	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_357	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_362	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_442	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_512	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_811	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_837	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-295
3300050821_1410	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_1402	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_1550	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_1888	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_2285	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_32	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_329	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
3300050821_39	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__UBA7541|f__UBA7541|g__Palsa-360
